,Time,Target,Number of Features,ROC AUC,Average Precision,Brier Score Loss
0,2019-03-31-0024,length_of_stay_over_5_days,170,0.8537951476814333,0.7327156581167507,0.14316589745166544
0,2019-03-31-0105,length_of_stay_over_7_days,170,0.8460128299192078,0.583099282416787,0.11549030619164878
0,2019-03-31-0148,financialclass_binary,274,0.922169808315796,0.9608316021324494,0.09703111154148107
0,2019-03-31-0940,gender_binary,291,0.8728873234529295,0.8466714921821096,0.14421794932217516
0,2019-03-31-1106,race_binary,289,0.9137155512643905,0.84772811833512,0.0921671880794144
0,2019-03-31-1151,gender_binary,10,0.7891668825284033,0.7382610364363464,0.18584385581177992
0,2019-03-31-1248,race_binary,10,0.9079263327710396,0.8361535403230146,0.09578778123297577
0,2019-03-31-1343,gender_binary,20,0.8248476194267624,0.7850869497104215,0.17014745059613096
0,2019-03-31-1443,race_binary,20,0.9074356590039436,0.8360536541642865,0.09594422933883913
0,2019-03-31-1530,gender_binary,30,0.8421284658678221,0.806165927142595,0.16138296431075547
0,2019-03-31-1618,race_binary,30,0.9084910749593812,0.8384284084431609,0.09505524201494862
0,2019-03-31-1704,gender_binary,40,0.8532739467837933,0.8195714123631886,0.1555656444298492
0,2019-03-31-1756,readmitted30d,280,0.7633444746387256,0.371181630174401,0.10298030864611726
0,2019-03-31-1819,readmitted5d,280,0.6816054028262805,0.07270034866493787,0.03005496975027779
0,2019-03-31-1843,readmitted7d,280,0.6985507188051054,0.11384448847874822,0.042338185664698574
0,2019-03-31-1907,readmitted3d,280,0.6503364377470418,0.032959372213971314,0.015919336074787415
0,2019-03-31-1943,length_of_stay_over_3_days,170,0.8480991581252503,0.8740271581420463,0.15550347477640103
0,2019-03-31-2027,length_of_stay_over_5_days,170,0.8537951476814333,0.7327156581167507,0.14316589745166544
0,2019-03-31-2108,length_of_stay_over_7_days,170,0.8460128299192078,0.583099282416787,0.11549030619164878
0,2019-03-31-2151,financialclass_binary,274,0.922169808315796,0.9608316021324494,0.09703111154148107
0,2019-03-31-2224,readmitted30d,10,0.7590673674594424,0.36399756428614993,0.10362496464981993
0,2019-03-31-2240,readmitted5d,10,0.6874542072874991,0.07160064880651455,0.030042195371655596
0,2019-03-31-2256,readmitted7d,10,0.6983601586125375,0.10689041833098804,0.0424492942715728
