,index,time_from_admission_to_death_socialsecurity
531,69 days 00:22:00.000000000,1
532,96 days 03:26:00.000000000,1
533,19 days 22:45:00.000000000,1
534,89 days 21:37:00.000000000,1
535,55 days 13:16:00.000000000,1
536,73 days 06:33:00.000000000,1
537,219 days 11:31:00.000000000,1
538,46 days 20:57:00.000000000,1
539,1 days 02:40:00.000000000,1
540,31 days 12:45:00.000000000,1
541,0 days 03:17:00.000000000,1
542,1 days 23:22:00.000000000,1
543,12 days 00:07:00.000000000,1
544,147 days 04:33:00.000000000,1
545,5 days 18:22:00.000000000,1
546,8 days 08:10:00.000000000,1
547,63 days 14:53:00.000000000,1
548,214 days 22:00:00.000000000,1
549,0 days 04:05:00.000000000,1
550,67 days 00:00:00.000000000,1
551,11 days 04:13:00.000000000,1
552,4 days 04:10:00.000000000,1
553,151 days 02:40:00.000000000,1
554,85 days 23:59:00.000000000,1
555,31 days 22:29:00.000000000,1
556,31 days 05:25:00.000000000,1
557,108 days 12:30:00.000000000,1
558,154 days 06:38:00.000000000,1
559,91 days 01:17:00.000000000,1
560,73 days 02:42:00.000000000,1
561,6 days 13:06:00.000000000,1
562,34 days 04:22:00.000000000,1
563,211 days 09:06:00.000000000,1
564,162 days 22:18:00.000000000,1
565,1 days 06:18:00.000000000,1
566,53 days 01:56:00.000000000,1
567,3 days 11:45:00.000000000,1
568,209 days 14:50:00.000000000,1
569,16 days 16:45:00.000000000,1
570,85 days 17:15:00.000000000,1
571,127 days 11:16:00.000000000,1
572,4 days 05:50:00.000000000,1
573,4 days 23:16:00.000000000,1
574,14 days 23:30:00.000000000,1
575,75 days 23:59:00.000000000,1
576,3 days 22:17:00.000000000,1
577,9 days 03:16:00.000000000,1
578,6 days 08:23:00.000000000,1
579,285 days 14:35:00.000000000,1
580,34 days 13:18:00.000000000,1
581,193 days 05:15:00.000000000,1
582,28 days 13:04:00.000000000,1
583,43 days 08:56:00.000000000,1
584,3 days 04:11:00.000000000,1
585,39 days 20:41:00.000000000,1
586,85 days 03:05:00.000000000,1
587,99 days 20:33:00.000000000,1
588,1 days 12:15:00.000000000,1
589,4 days 06:42:00.000000000,1
590,287 days 02:27:00.000000000,1
591,30 days 06:45:00.000000000,1
592,218 days 06:06:00.000000000,1
593,158 days 07:15:00.000000000,1
594,11 days 02:50:00.000000000,1
595,82 days 12:20:00.000000000,1
596,35 days 08:37:00.000000000,1
597,18 days 01:13:00.000000000,1
598,33 days 03:23:00.000000000,1
599,283 days 06:14:00.000000000,1
600,37 days 07:58:00.000000000,1
601,79 days 23:59:00.000000000,1
602,135 days 23:59:00.000000000,1
603,52 days 20:55:00.000000000,1
604,17 days 23:59:00.000000000,1
605,323 days 07:30:00.000000000,1
606,19 days 06:24:00.000000000,1
607,327 days 10:38:00.000000000,1
608,40 days 10:55:00.000000000,1
609,22 days 18:09:00.000000000,1
610,0 days 01:19:00.000000000,1
611,112 days 05:58:00.000000000,1
612,10 days 03:40:00.000000000,1
613,141 days 03:05:00.000000000,1
614,15 days 22:01:00.000000000,1
615,18 days 04:03:00.000000000,1
616,65 days 07:20:00.000000000,1
617,40 days 03:48:00.000000000,1
618,27 days 02:21:00.000000000,1
619,22 days 05:09:00.000000000,1
620,2 days 09:36:00.000000000,1
621,110 days 04:00:00.000000000,1
622,130 days 04:51:00.000000000,1
623,100 days 04:41:00.000000000,1
624,1 days 08:11:00.000000000,1
625,124 days 08:28:00.000000000,1
626,91 days 01:08:00.000000000,1
627,61 days 09:30:00.000000000,1
628,112 days 13:05:00.000000000,1
629,69 days 20:25:00.000000000,1
630,107 days 01:12:00.000000000,1
631,161 days 08:10:00.000000000,1
632,21 days 22:15:00.000000000,1
633,27 days 00:54:00.000000000,1
634,94 days 03:00:00.000000000,1
635,32 days 10:32:00.000000000,1
636,2 days 08:57:00.000000000,1
637,27 days 06:47:00.000000000,1
638,35 days 21:15:00.000000000,1
639,9 days 09:00:00.000000000,1
640,1 days 05:43:00.000000000,1
641,5 days 17:25:00.000000000,1
642,19 days 00:45:00.000000000,1
643,99 days 19:58:00.000000000,1
644,31 days 15:13:00.000000000,1
645,3 days 17:03:00.000000000,1
646,142 days 03:29:00.000000000,1
647,74 days 09:08:00.000000000,1
648,129 days 15:51:00.000000000,1
649,93 days 23:09:00.000000000,1
650,158 days 18:00:00.000000000,1
651,12 days 00:11:00.000000000,1
652,7 days 01:57:00.000000000,1
653,7 days 13:56:00.000000000,1
654,270 days 04:25:00.000000000,1
655,24 days 13:39:00.000000000,1
656,18 days 06:40:00.000000000,1
657,20 days 09:17:00.000000000,1
658,122 days 06:52:00.000000000,1
659,213 days 12:44:00.000000000,1
660,13 days 10:15:00.000000000,1
661,25 days 00:37:00.000000000,1
662,31 days 12:32:00.000000000,1
663,38 days 15:02:00.000000000,1
