,index,bmi_discharge
1230,32.72,318
1231,19.75,318
1232,37.2,318
1233,33.43,318
1234,37.76,318
1235,22.36,318
1236,18.75,317
1237,23.36,317
1238,21.57,317
1239,19.39,317
1240,21.27,317
1241,19.11,317
1242,30.16,317
1243,20.54,316
1244,32.15,315
1245,35.02,315
1246,34.74,315
1247,38.77,315
1248,31.91,315
1249,31.27,314
1250,21.76,314
1251,33.16,314
1252,20.69,314
1253,32.34,314
1254,33.1,314
1255,26.84,314
1256,32.47,313
1257,24.93,313
1258,31.02,313
1259,20.32,313
1260,22.39,313
1261,37.31,312
1262,32.57,312
1263,22.57,312
1264,29.78,312
1265,20.28,311
1266,20.91,311
1267,35.11,311
1268,33.31,311
1269,36.01,311
1270,30.61,311
1271,33.57,311
1272,29.31,310
1273,25.57,310
1274,20.72,310
1275,30.01,310
1276,32.02,310
1277,27.23,310
1278,20.23,310
1279,34.14,309
1280,22.91,309
1281,30.19,309
1282,21.98,308
1283,22.94,308
1284,20.02,308
1285,34.58,308
1286,34.93,308
1287,39.87,307
1288,33.79,307
1289,21.39,307
1290,30.43,307
1291,34.21,306
1292,20.38,306
1293,29.47,306
1294,32.36,306
1295,19.68,306
1296,33.19,305
1297,21.91,305
1298,31.29,305
1299,32.8,304
1300,21,304
1301,20.21,303
1302,31.96,303
1303,20.05,303
1304,22,302
1305,18.6,302
1306,20.4,301
1307,29.34,301
1308,29.61,301
1309,32.52,301
1310,29.98,301
1311,34.15,301
1312,34.56,301
1313,30.44,300
1314,23.07,300
1315,20.39,300
1316,21.05,300
1317,32.99,299
1318,35.07,299
1319,35.36,299
1320,22.03,299
1321,19.58,299
1322,20.65,299
1323,30.98,298
1324,39.11,298
1325,34.28,298
1326,33.35,298
1327,21.19,297
1328,33.21,297
1329,21.17,297
1330,34.76,297
1331,34.3,297
1332,30.63,296
1333,38.62,296
1334,32.33,296
1335,35.35,296
1336,33.78,296
1337,35.58,296
1338,18.87,296
1339,30.76,296
1340,20.11,295
1341,20.31,295
1342,20.74,295
1343,23.94,295
1344,19.96,294
1345,32.64,294
1346,20.56,294
1347,32.76,293
1348,21.15,293
1349,20.42,293
1350,29.93,293
1351,37.93,293
1352,31.49,293
1353,29.11,292
1354,33.6,292
1355,20.03,291
1356,34.36,291
1357,18.99,291
1358,35.61,290
1359,19.66,290
1360,22.72,290
1361,37.42,290
1362,20.95,289
1363,30.03,289
1364,20.35,289
1365,33.8,289
1366,22.29,288
1367,22.19,288
1368,31.11,287
1369,31.54,287
1370,20.77,287
1371,35.93,287
1372,34.83,286
1373,20.88,286
1374,32.86,286
1375,33.38,286
1376,33.37,286
1377,35.74,285
1378,22.01,285
1379,33.06,284
1380,37.49,284
1381,35.3,284
1382,32.85,284
1383,19.33,284
1384,32.13,284
1385,20.52,283
1386,35.48,283
1387,34.77,283
1388,19.05,282
1389,24.08,282
1390,31.98,282
1391,32.07,282
1392,32.38,281
1393,34.9,281
1394,30.09,281
1395,30.75,281
1396,32.05,280
1397,31.72,280
1398,18.71,280
1399,34.78,280
1400,18.95,280
1401,29.91,279
1402,31.76,279
1403,19.73,279
1404,37.28,279
1405,20.68,278
1406,35.62,278
1407,35.7,278
1408,34.12,277
1409,30.22,277
1410,33.42,277
1411,31.77,277
1412,28.33,277
1413,19.61,276
1414,33.05,275
1415,30.77,275
1416,36.96,275
1417,21.66,274
1418,20.64,274
1419,21.33,274
1420,19.85,273
1421,21.5,273
1422,19.3,273
1423,33.04,273
1424,31.88,272
1425,38.11,272
1426,31.34,272
1427,20.16,272
1428,33.4,272
1429,34.8,272
1430,21.59,271
1431,20.27,271
1432,27.85,271
1433,21.54,271
1434,38.01,271
1435,19.93,270
1436,20,270
1437,33.97,269
1438,34.84,269
1439,36.02,269
1440,41.6,269
1441,18.3,268
1442,36.44,268
1443,39.16,268
1444,22.25,267
1445,20.73,267
1446,34.26,267
1447,35.29,267
1448,32.84,266
1449,33.48,266
1450,35.24,266
1451,39.94,266
1452,31.83,266
1453,34.53,266
1454,35.99,266
1455,33.41,265
1456,38.02,265
1457,36.92,265
1458,36.95,265
1459,35.23,265
1460,22.54,265
1461,20.14,264
1462,35.25,264
1463,26.02,264
1464,18.78,264
1465,23.97,264
1466,21.34,264
1467,31.59,264
1468,33.39,263
1469,20.15,263
1470,36.8,263
1471,32.82,263
1472,31.86,263
1473,20.61,263
1474,21.69,263
1475,31.56,263
1476,30.58,263
1477,37.61,262
1478,31.61,262
1479,34.88,261
1480,20.84,261
1481,32.68,261
1482,38.79,260
1483,31.08,260
1484,34.03,260
1485,33.22,260
1486,33.5,260
1487,36.18,259
1488,20.06,259
1489,18.64,259
1490,19.44,259
1491,19.01,259
1492,31.2,259
1493,35.4,259
1494,32.66,258
1495,32.71,258
1496,34.23,258
1497,32.35,258
1498,18.55,257
1499,28.3,256
1500,33.7,256
1501,33.93,256
1502,36.94,256
1503,19.52,255
1504,18.29,255
1505,36.14,255
1506,34.27,254
1507,34.35,254
1508,35.84,254
1509,32.9,254
1510,32.53,253
1511,22.41,253
1512,38.97,253
1513,35.88,253
1514,34.98,252
1515,39.06,252
1516,21.36,252
1517,33.18,252
1518,37.77,252
1519,31.92,252
1520,33.33,252
1521,19.81,251
1522,34.17,251
1523,35.9,251
1524,33.01,251
1525,38.45,250
1526,32.29,250
1527,32.75,249
1528,19.34,249
1529,35.56,249
1530,30.33,249
1531,34.91,249
1532,34.07,248
1533,32.94,248
1534,33.76,248
1535,21.01,248
1536,19.08,248
1537,36.73,248
1538,37.66,247
1539,18.97,247
1540,17.71,247
1541,18.16,246
1542,35.55,246
1543,40.35,246
1544,36.4,246
1545,18.54,246
1546,34.1,245
1547,35.71,245
1548,19.69,245
1549,32.31,245
1550,39.48,245
1551,35.33,244
1552,36.56,244
1553,19.55,244
1554,34.99,244
1555,18.65,243
1556,19.88,243
1557,31.36,242
1558,19.72,242
1559,36.39,242
1560,18.01,242
1561,32.09,242
1562,37.25,242
1563,37.46,241
1564,32.51,241
1565,34.59,241
1566,34.5,241
1567,28.92,241
1568,19.02,241
1569,19.19,241
1570,34.29,241
1571,33.9,240
1572,37.45,240
1573,37.08,240
1574,18.89,240
1575,20.04,240
1576,19.46,240
1577,33.77,239
1578,19.95,239
1579,18.94,239
1580,35.31,239
1581,21.84,238
1582,36.15,238
1583,33.34,237
1584,17.94,237
1585,36.11,237
1586,37.13,237
1587,20.71,237
1588,19.76,236
1589,20.87,236
1590,38.37,236
1591,20.33,236
1592,34.73,236
1593,36.81,236
1594,41.2,235
1595,19.98,235
1596,33.87,235
1597,36.31,235
1598,37.79,234
1599,37.02,234
1600,20.86,234
1601,19.04,234
1602,34.55,233
1603,19.91,233
1604,18.66,233
1605,18.85,233
1606,31.68,232
1607,32.83,232
1608,19.4,232
1609,17.97,232
1610,31.69,232
1611,40.03,231
1612,19.7,231
1613,18.9,231
1614,36.57,231
1615,37.44,231
1616,35.01,231
1617,18.51,231
1618,37.97,230
1619,34.05,230
1620,36.62,230
1621,36.59,230
1622,36.36,230
1623,36.67,230
1624,37.38,229
1625,35.52,229
1626,33.32,229
1627,33.55,229
1628,39.68,229
1629,35.16,228
1630,37.22,228
1631,21.78,228
1632,18.56,228
1633,39.32,228
1634,33.81,228
1635,34.62,227
1636,19.21,227
1637,38.92,227
1638,34.52,227
1639,33.14,227
1640,19.16,226
1641,19.42,226
1642,30.06,226
1643,35.54,226
1644,21.88,226
1645,21.07,225
1646,19.63,225
1647,36.13,225
1648,36.2,225
1649,43.27,225
1650,17.85,225
1651,16.95,224
1652,19.48,224
1653,35.14,224
1654,37.03,224
1655,36.48,223
1656,33.56,223
1657,18.4,223
1658,19.86,223
1659,33.85,223
1660,33.88,222
1661,34.6,222
1662,39.46,222
