,index,length_of_stay
453,0 days 17:25:00.000000000,284
454,1 days 03:25:00.000000000,284
455,2 days 21:40:00.000000000,283
456,1 days 16:50:00.000000000,283
457,2 days 22:55:00.000000000,283
458,1 days 20:11:00.000000000,283
459,1 days 23:29:00.000000000,283
460,0 days 18:05:00.000000000,283
461,2 days 06:10:00.000000000,283
462,3 days 01:40:00.000000000,283
463,2 days 00:03:00.000000000,283
464,2 days 22:50:00.000000000,283
465,0 days 23:16:00.000000000,283
466,1 days 20:27:00.000000000,283
467,0 days 15:00:00.000000000,283
468,2 days 00:01:00.000000000,283
469,1 days 08:45:00.000000000,282
470,0 days 20:10:00.000000000,282
471,1 days 23:09:00.000000000,282
472,1 days 21:58:00.000000000,282
473,3 days 00:20:00.000000000,282
474,1 days 14:15:00.000000000,282
475,2 days 18:50:00.000000000,281
476,2 days 10:30:00.000000000,281
477,0 days 16:45:00.000000000,281
478,1 days 22:42:00.000000000,281
479,0 days 21:29:00.000000000,281
480,1 days 20:56:00.000000000,281
481,2 days 00:52:00.000000000,281
482,2 days 00:57:00.000000000,281
483,0 days 23:57:00.000000000,281
484,1 days 08:00:00.000000000,281
485,2 days 18:10:00.000000000,281
486,1 days 23:03:00.000000000,281
487,2 days 06:50:00.000000000,281
488,2 days 00:19:00.000000000,281
489,1 days 20:46:00.000000000,281
490,0 days 22:57:00.000000000,281
491,3 days 04:00:00.000000000,281
492,1 days 07:25:00.000000000,281
493,1 days 16:40:00.000000000,280
494,3 days 07:00:00.000000000,280
495,1 days 23:34:00.000000000,280
496,1 days 21:57:00.000000000,280
497,2 days 05:55:00.000000000,280
498,0 days 18:10:00.000000000,279
499,1 days 22:16:00.000000000,279
500,1 days 01:47:00.000000000,279
501,2 days 00:39:00.000000000,279
502,2 days 20:50:00.000000000,279
503,2 days 07:10:00.000000000,279
504,1 days 05:40:00.000000000,279
505,1 days 23:22:00.000000000,279
506,3 days 01:05:00.000000000,279
507,2 days 09:15:00.000000000,279
508,1 days 22:36:00.000000000,279
509,3 days 00:55:00.000000000,279
510,1 days 23:36:00.000000000,279
511,2 days 01:26:00.000000000,279
512,2 days 21:35:00.000000000,279
513,1 days 21:02:00.000000000,278
514,0 days 16:20:00.000000000,278
515,1 days 22:31:00.000000000,278
516,2 days 22:40:00.000000000,278
517,2 days 00:43:00.000000000,278
518,1 days 21:22:00.000000000,278
519,2 days 01:43:00.000000000,278
520,1 days 22:56:00.000000000,278
521,1 days 22:37:00.000000000,278
522,1 days 16:55:00.000000000,277
523,1 days 15:20:00.000000000,277
524,1 days 17:55:00.000000000,277
525,2 days 01:04:00.000000000,277
526,2 days 23:40:00.000000000,277
527,1 days 18:58:00.000000000,277
528,1 days 12:45:00.000000000,277
529,1 days 19:23:00.000000000,277
530,3 days 03:15:00.000000000,277
531,2 days 00:46:00.000000000,277
532,2 days 00:48:00.000000000,276
533,1 days 21:32:00.000000000,276
534,2 days 00:36:00.000000000,276
535,2 days 00:37:00.000000000,276
536,1 days 22:23:00.000000000,276
537,0 days 17:10:00.000000000,276
538,2 days 10:00:00.000000000,276
539,2 days 00:53:00.000000000,276
540,2 days 00:54:00.000000000,276
541,3 days 00:40:00.000000000,276
542,2 days 01:13:00.000000000,276
543,1 days 16:35:00.000000000,276
544,1 days 18:24:00.000000000,276
545,1 days 06:15:00.000000000,275
546,2 days 09:20:00.000000000,275
547,1 days 01:08:00.000000000,275
548,2 days 00:09:00.000000000,275
549,1 days 22:24:00.000000000,275
550,2 days 01:32:00.000000000,275
551,1 days 20:49:00.000000000,275
552,1 days 10:30:00.000000000,275
553,2 days 00:42:00.000000000,275
554,2 days 00:31:00.000000000,275
555,1 days 23:06:00.000000000,275
556,1 days 00:03:00.000000000,275
557,2 days 02:08:00.000000000,275
558,1 days 23:42:00.000000000,275
559,0 days 21:49:00.000000000,275
560,1 days 20:47:00.000000000,275
561,2 days 01:44:00.000000000,274
562,1 days 05:10:00.000000000,274
563,1 days 23:14:00.000000000,274
564,1 days 22:13:00.000000000,274
565,1 days 08:30:00.000000000,274
566,1 days 21:21:00.000000000,274
567,2 days 02:11:00.000000000,274
568,1 days 23:23:00.000000000,274
569,1 days 15:40:00.000000000,274
570,2 days 01:16:00.000000000,274
571,0 days 21:41:00.000000000,274
572,0 days 23:22:00.000000000,274
573,2 days 15:30:00.000000000,274
574,1 days 01:07:00.000000000,274
575,1 days 21:17:00.000000000,274
576,1 days 21:39:00.000000000,274
577,1 days 19:04:00.000000000,273
578,1 days 22:17:00.000000000,273
579,1 days 19:33:00.000000000,273
580,2 days 20:35:00.000000000,273
581,2 days 05:17:00.000000000,273
582,1 days 22:49:00.000000000,273
583,1 days 08:15:00.000000000,273
584,1 days 09:00:00.000000000,273
585,0 days 18:35:00.000000000,273
586,0 days 21:42:00.000000000,273
587,1 days 21:51:00.000000000,273
588,1 days 23:46:00.000000000,273
589,3 days 04:15:00.000000000,273
590,2 days 00:12:00.000000000,272
591,0 days 15:50:00.000000000,272
592,1 days 12:30:00.000000000,272
593,2 days 16:30:00.000000000,272
594,3 days 01:25:00.000000000,272
595,1 days 22:28:00.000000000,272
596,1 days 06:45:00.000000000,272
597,2 days 08:45:00.000000000,272
598,1 days 07:45:00.000000000,272
599,1 days 21:18:00.000000000,272
600,1 days 19:54:00.000000000,272
601,3 days 01:35:00.000000000,272
602,0 days 22:32:00.000000000,272
603,2 days 01:56:00.000000000,272
604,2 days 01:38:00.000000000,272
605,2 days 13:30:00.000000000,272
606,1 days 22:34:00.000000000,271
607,3 days 00:35:00.000000000,271
608,1 days 22:21:00.000000000,271
609,2 days 17:20:00.000000000,271
610,1 days 15:00:00.000000000,271
611,2 days 00:49:00.000000000,271
612,2 days 01:03:00.000000000,271
613,1 days 22:39:00.000000000,271
614,0 days 22:07:00.000000000,271
615,1 days 09:15:00.000000000,271
